,CL=F,BZ=F,NG=F,GC=F,SI=F,HG=F,ZC=F,ZW=F,ZS=F,XLE,XLB,XLI,GDX,SIL,JETS,IYT,XOM,CVX,FCX,NEM,APA,OXY,TECK,SM,TGB,GORO,SPY,QQQ,IWM,IJH,MGC,^VIX,DX-Y.NYB,^TNX
2005-02-23,0.42189031314574926,,0.5876852976157954,0.1365521661981509,0.35418124393997996,0.28110778966311073,0.2074850986474829,0.2632319458291478,0.2330871381936735,0.19503329255406246,0.1373841278742515,0.09871330173872414,,,,0.15116526408125133,0.17784021240499637,0.1835053124223118,0.2714635592205719,0.2359602970363659,0.26451167737132275,0.22595833386389164,0.3912629632361915,0.2687926792940324,0.6438086827542719,,0.08975614460437009,0.14240620691286218,0.14712107615422595,0.1141980825783146,,0.6262220145597404,0.09154054341457948,0.16930271194151067
2005-02-24,0.4218109937287766,,0.587572356123219,0.1365097814541243,0.3545096648763812,0.281877465708478,0.20745365831231066,0.2639207529790965,0.23359403582587907,0.19791546750235747,0.13832924442387856,0.10272795096885098,,,,0.15490206312139507,0.1851152106204779,0.18547926554954947,0.27256463588777413,0.2325271935426317,0.2653814727263925,0.22849135227533818,0.39462120036508047,0.26741501586669997,0.6412887933396049,,0.09061187791186828,0.14488200628508127,0.1477846529056063,0.11626042220380077,,0.6392091175938047,0.09152736379719628,0.16917865193211537
2005-02-25,0.42138744182881355,,0.505117548468638,0.13631983995246455,0.35490456980227497,0.28054895275938196,0.21429427235843507,0.27154132785994145,0.2514583601629622,0.20238564786350985,0.14027599371669242,0.10360342852709216,,,,0.15513636967659813,0.19539980101914622,0.18668879254909373,0.270362821859335,0.2319656362586432,0.270111927539854,0.2311472546629658,0.39504052820572344,0.2655529285381446,0.6417654102233511,,0.09250367622705093,0.1442166698047282,0.15095132398065048,0.11753084326472926,,0.6392071807217619,0.09065893094241509,0.1691861208760299
2005-02-28,0.4214765101392348,,0.5051863018797453,0.13657406874196623,0.35546249964079063,0.2809343280707197,0.21562444946555032,0.277584898557238,0.2567469924152951,0.20332619582627456,0.14076171961373743,0.10431070477620125,,,,0.15520509666989563,0.19546619016941344,0.1866123602558045,0.26764627366965615,0.22697665325839358,0.2698216061925787,0.23382887792519835,0.3915563659807419,0.26458003678012065,0.6096422902018881,,0.09355391604401965,0.145556664008901,0.15150606926339574,0.11824977762202131,,0.6474177904327403,0.08937884959899552,0.1726947548017026
2005-03-01,0.42133451719834897,,0.504379030302281,0.13585664242461207,0.35449537241377294,0.2786978267472346,0.2146200944675836,0.2796864817338258,0.25694288701807116,0.20750183681142612,0.14058333087410185,0.10417347269030694,,,,0.15620387951985973,0.19990214737902684,0.19083758478437224,0.26908676819020594,0.22915812363929264,0.2770934640239623,0.23566290427342998,0.3911078518804947,0.2666254825341155,0.6035078542295867,,0.09344649692806298,0.14740344535155334,0.1520985672288034,0.11908774366640874,,0.6421020194397439,0.0895183922277123,0.1674216051113226
2005-03-02,0.4235062967078266,,0.5019334849187157,0.13554320585180218,0.35513901502108375,0.27916820055214847,0.21458830420666583,0.2794019442935362,0.2592839849933502,0.2089428109976622,0.14043655746762576,0.10423269841997579,,,,0.1562150357442288,0.19997255450913629,0.19148298289845142,0.25868871326090764,0.21665324068982994,0.27780173801029623,0.23933569569072793,0.4053011769620187,0.26603096713511976,0.6006656496568431,,0.09346834097657392,0.14737003237830779,0.1514523275510226,0.11920338982536789,,0.6468010240331643,0.08974772843600738,0.16696122446432154
2005-03-03,0.39283023089359914,,0.4994611381850359,0.13539626233216762,0.3465033098062269,0.27717065227697124,0.2144085128247335,0.2782054980584824,0.2574834617662068,0.20354414411544075,0.13948410034752096,0.09888355437719469,,,,0.1506443839620081,0.19975432784411126,0.18661112991165102,0.2586743757408448,0.21816407978225918,0.26649766496078464,0.23914197610325966,0.3893894336763267,0.25857298209601143,0.6015662942420309,,0.09085890241118012,0.14201593138562105,0.1503086092985876,0.11758671897371187,,0.6492213389348909,0.08957648366547936,0.16679059905179885
2005-03-04,0.37772398332452295,,0.4708823580554136,0.136317746502068,0.3473233476788805,0.27472728980829986,0.21440220964526296,0.27751437209002394,0.2553440451493916,0.19509422823740055,0.14932050419549237,0.10246177148391575,,,,0.15553689186441105,0.19453728638160409,0.18198610999489984,0.26868971671659214,0.2180716382470996,0.2590916683934204,0.2221980313584327,0.3902858496480344,0.25500154472501313,0.5954198767774803,,0.09399556152516206,0.14236451207207446,0.15226458834976378,0.11948785057532128,,0.668450689267373,0.09099461993635165,0.16981709754167687
2005-03-07,0.3755444229833603,,0.47094375826814705,0.13386132131235315,0.3464756207606457,0.27470551637714313,0.21427577346392032,0.2760857014676476,0.2601791743638597,0.19584911463108928,0.15132563150822476,0.10286099485666242,,,,0.15728876834923053,0.19619757987764827,0.18263717588522532,0.2721727003655087,0.21688555363026998,0.26185567796296216,0.2241591245169238,0.39027315087059394,0.2597907035995864,0.5967062926546158,,0.09396443980981473,0.14550192454643082,0.15230259725210732,0.11943146856478061,,0.6707539260356001,0.08782218355748983,0.15929859035702265
2005-03-08,0.3757658342156446,,0.47112658620478076,0.1361339330727365,0.3484226311881737,0.27469696937360055,0.21409575207398185,0.2777453420531821,0.26184436721076604,0.1959790875400986,0.15130543321141068,0.10219300110092668,,,,0.1569763460493172,0.19583431070157734,0.1826171359676399,0.27085642102640406,0.2247784136873876,0.2616833192275911,0.22384318530285255,0.38908279671618096,0.2593973485880094,0.5933931365860693,,0.09434158375599228,0.14643529707336733,0.15323358457623154,0.11943158374609057,,0.6701715302603908,0.08987127552354678,0.16187267094569316
2005-03-09,0.36696401497592973,,0.4624728110714419,0.13614316769813942,0.3490959098905041,0.2716829431548042,0.21088516444546204,0.2748896171666602,0.25964909123055907,0.1999571670525821,0.14414359712427868,0.10326354510527082,,,,0.1569047160740794,0.21094863962337454,0.19058281726265222,0.26838277804936633,0.22353905229490545,0.2651972549169284,0.22927731823284103,0.3890842017921516,0.25561141469506127,0.6051077229163527,,0.09518257355484094,0.1426752546221963,0.1507550954057683,0.12007743484010631,,0.667949161729861,0.09029690371328492,0.17299006885033527
2005-03-10,0.3706411523878117,,0.4633655368043872,0.11858142307567064,0.28830009706910587,0.2679160234473985,0.212233344651937,0.2769414982986809,0.25981370052280656,0.20542087145324606,0.1468733262205513,0.10323344302475046,,,,0.15545733131309628,0.21182823675050588,0.19560674065432684,0.2786776642131607,0.22324827897881633,0.27525828440830935,0.2297317389041052,0.40002369718331393,0.2627808487602056,0.6008370857834712,,0.0946282340529446,0.14207228464435065,0.14936242885404444,0.11971067680960892,,0.6650192067298658,0.08882598649250259,0.16862274501397537
2005-03-11,0.37095377373081245,,0.4594148023173387,0.11929844729485539,0.2697669604309584,0.2687597382490062,0.21643107383229462,0.2833236502607972,0.2677936807736646,0.20539901363675675,0.14680387126331992,0.10270731964496915,,,,0.15553578572663662,0.21237715473599883,0.19586438631900044,0.27667360495125115,0.22313445043823785,0.2745025299052366,0.22971682290168507,0.4025492086244988,0.2656629725846627,0.6046184250257555,,0.09556198978689716,0.14241045455160223,0.14857865045519794,0.11956176084183102,,0.6652698082227633,0.08883163481475494,0.1712129765504016
2005-03-14,0.35822004432666166,,0.4712393669012108,0.1212850491311393,0.272831414151176,0.2671967118244526,0.21808388787747218,0.28040082259088633,0.2676289507376452,0.20458092078612788,0.14680260312921115,0.10302760159109314,,,,0.15470823664595756,0.21196458126111872,0.1964431212775975,0.2764435309550217,0.2231834400278688,0.2729626005013893,0.230539433967377,0.402122703100537,0.26553348794488735,0.6089548069885233,,0.09629748592193128,0.1427886651089195,0.14854790199255938,0.1202367824091216,,0.6681932705988006,0.08895711148682277,0.17150028892521932
2005-03-15,0.3582286381225026,,0.46224303513192894,0.11913636285452257,0.27187354539125075,0.2642478983615006,0.2481952725087906,0.29931341406710044,0.27428163404849165,0.20526523367346647,0.14488477264093805,0.10131269834460906,,,,0.15356320754437922,0.21466988372832632,0.1953141118993636,0.2728013574297,0.21909508285010165,0.2729702026510814,0.2341563957064494,0.4025119699789437,0.26915504804814444,0.6100172889868813,,0.09628671929143072,0.1421289146932298,0.14749854821316918,0.12038302991622413,,0.6779144750798421,0.08836691637009658,0.17164748800361257
2005-03-16,0.3593782609281177,,0.45989209890359195,0.11893779963980453,0.27088388708113503,0.2643724390260644,0.24861366435745663,0.302234079240717,0.2757503809496702,0.20526794316159738,0.15181035205213342,0.10387694230801446,,,,0.15698263008186047,0.21472180655320802,0.1941311932232556,0.2741186409128063,0.2191584562902103,0.2729892473308597,0.2339251710745151,0.4036114928889107,0.26884637152913204,0.606447058196624,,0.09753124025205138,0.143022284137337,0.14742806799669572,0.12018286974745176,,0.6791362536195016,0.08903091529243615,0.1717545176814756
2005-03-17,0.3446435884889857,,0.4593142219283045,0.11907626234932266,0.2690471289886085,0.26296146809238424,0.22988397388267068,0.2811931683376253,0.27514311397616414,0.2071220079988405,0.15214520155830064,0.10383220691163425,,,,0.15745137173294016,0.2170066445606052,0.19480413191640325,0.2748995091534105,0.21950073421921798,0.2743339537587986,0.23604071844437927,0.4033159438362384,0.27541174624367687,0.616211356532157,,0.09761128154150113,0.14315573262931822,0.14635997272934775,0.11959111331366562,,0.6769562418379564,0.08759142801838933,0.17079752019274608
2005-03-18,0.34456006251218513,,0.4544236437196675,0.11775092070951285,0.26470970855007153,0.2629612212853588,0.23214653553169398,0.2851590184336899,0.2848984356201429,0.2062816617747905,0.1511693982996479,0.10326060547436693,,,,0.15851665381131028,0.21793785425754492,0.19402392304850638,0.27483556986913715,0.2157026965749024,0.269415831297509,0.23665841615619562,0.40209384513434165,0.2727873055303671,0.6225710547511155,,0.09777382628988633,0.14245437895859359,0.14594702777587465,0.12072203595026601,,0.6772489761861641,0.08523742884193782,0.16390895457683916
2005-03-21,0.3337266048412774,,0.43642906126629916,0.12168625909541268,0.2758761883310129,0.26406635758496705,0.23749660714907453,0.2949582371539652,0.2946818287547773,0.20753714117841346,0.1517086378163747,0.10346404202745657,,,,0.1584050061782425,0.2183349858262959,0.19421502456349626,0.2782590173810492,0.22280431433719616,0.27025296010165806,0.2406163213910079,0.4051699943319442,0.2752826444424015,0.6214604467385553,,0.09714564115226404,0.14257202337054806,0.1458080138414491,0.1209128607605185,,0.6782764919300298,0.08676617011390376,0.16374950077527672
2005-03-22,0.33307763589887673,,0.41324311522089,0.12161746742394909,0.27545723950765827,0.26325195272009067,0.23686857068993683,0.2949629142262938,0.29468716870085926,0.2088440616590331,0.1517728770862344,0.10403195977739628,,,,0.15794583693524805,0.21909288163000648,0.19504412688541892,0.2779982836731903,0.22544639200658811,0.2721531631393579,0.23907662283151193,0.39633171068225653,0.27644251319005675,0.6226124724078415,,0.09921682806157801,0.14388205681762625,0.14637114606869933,0.12130355392590739,,0.6837999922868816,0.08658129452945923,0.16729275251972586
2005-03-23,0.34434809821666634,,0.41345121223148723,0.12471981668272543,0.27621120010010575,0.2717495216525818,0.2388508211178623,0.2989826928733484,0.295075742836429,0.21302702667949314,0.15127839432198523,0.10408879808502544,,,,0.15514785421502078,0.22062680124598355,0.1972007040483086,0.2813586636111247,0.22720717901870482,0.2824124072471333,0.24963995464650018,0.4044763948116424,0.2857914249059161,0.6219675963150078,,0.09792379264649895,0.1416246247274768,0.1452465665066447,0.12106728455879535,,0.6825815143829512,0.08761898948758226,0.1663761520547799
2005-03-24,0.3378110787639673,,0.41390984313962864,0.12459662739856729,0.2751505060763147,0.26962345536277765,0.23885004377406938,0.29899623851647356,0.29502991899621733,0.21067020902673772,0.15127978143864987,0.10438566785392125,,,,0.15547638877883094,0.22360029860938868,0.19627066770682822,0.281328910137622,0.22523898982696758,0.2798874804307197,0.24889698804253846,0.40377478236794534,0.2847454637511668,0.6180681754554395,,0.097813137287373,0.14156231403595476,0.14542181609920424,0.12118586456736034,,0.6894205779150339,0.08764257688684024,0.1661804817814257
2005-03-28,0.3395850361079734,,0.41171574594464666,0.12449660801219799,0.27426134290115345,0.2693917499131969,0.23933798459253666,0.2992237409849059,0.2951420372492023,0.21056983498803072,0.1516864917706667,0.10434233144968483,,,,0.15550063137673792,0.2226494703491154,0.19598271134502226,0.28123959451431296,0.22487279393324444,0.27997403442167657,0.2499023909353162,0.40718025127132235,0.2855750326414022,0.605613636901614,,0.09785715651243349,0.1416558814862984,0.1452839121041225,0.12128937804242947,,0.6893121545579389,0.08689341810412456,0.16649850987007433
2005-03-29,0.3082396510785359,,0.3879844372136609,0.12343826249293287,0.27459980766163894,0.26930536972784297,0.2393092101261793,0.2977075989719918,0.29421133815879136,0.21005001704321974,0.15828468426194972,0.10875406753210722,,,,0.1595102783279077,0.2191272044183238,0.1946111011071543,0.2841857184496344,0.22495317467374398,0.2781957815045737,0.24998265811895862,0.41407593814686233,0.28509875299126275,0.5301424888731441,,0.0986062533318444,0.14215687987610023,0.14740359280985246,0.123268873405998,,0.6799029755416071,0.08568419128082344,0.16426749414144523
2005-03-30,0.3084401609640365,,0.38910301269131153,0.12341639504546979,0.27417834480169834,0.2631450089609465,0.2393062471335228,0.29782769920112734,0.29686431802469604,0.21135064206621307,0.16149564406462144,0.11488498090013047,,,,0.1621761705526957,0.22097346207874574,0.19439673333855492,0.2885873831800026,0.22936127412155488,0.2780234116011591,0.25090584289174533,0.42379518761886514,0.28448198047002066,0.5298923158240886,,0.10214534204864331,0.14615799987979206,0.14798893837211274,0.12254381385644639,,0.691039983146976,0.0856988359340708,0.16509051049237752
2005-03-31,0.3010255166507346,,0.3879511769492606,0.11850820627997057,0.270349607353144,0.25471029497752423,0.23629252582138918,0.2980975312731534,0.29990100684534754,0.21403870671176015,0.16234115005760433,0.11488994786044003,,,,0.16259653155688322,0.2210839478428899,0.19380164663994992,0.29081553285706285,0.2292145662821894,0.28349161607569856,0.2543039800573517,0.4356455349980551,0.2852953499502447,0.5202604384920663,,0.10212232486378411,0.14618476638927694,0.14798702595121774,0.12264063134901468,,0.6893335659839194,0.08582602933123254,0.16715636259891936
2005-04-01,0.3062203462734018,,0.37833089268194503,0.11892260711670187,0.2765976302100564,0.2556378200517716,0.23593828527816632,0.30208471887241545,0.3036985043762816,0.21790575818990723,0.16216970314785642,0.11635021826309586,,,,0.16306021531650633,0.22247682537929536,0.19523674679201258,0.2911953424862471,0.22938773434811913,0.28651602184338254,0.26151767129279435,0.4355633144116143,0.28852423529765386,0.5197109302669255,,0.1024114574521873,0.14721640880268513,0.14803867000286952,0.12258762696063118,,0.6723899931911438,0.0852644431950891,0.1660270446647575
2005-04-04,0.3066200683726133,,0.3812745172836116,0.11922620897552859,0.27670373102490187,0.2562630263369959,0.23778946553935182,0.3046002758021139,0.30367647243510043,0.21917840153016174,0.1625870129695987,0.1161903133749605,,,,0.1636336984536054,0.22246106553181572,0.2126135226351644,0.2946575921656326,0.23111075780329987,0.2866963468269559,0.26150740854206966,0.435065359279577,0.2891062747339255,0.5242424646236287,,0.10243835659712822,0.14824857534744976,0.14832662821179485,0.12260896704712329,,0.6631479196626276,0.08529134292542867,0.16429530019467994
2005-04-05,0.3013037820453179,,0.3590606944193433,0.11226295760158009,0.2572389854361697,0.2518593959351721,0.2395352489495173,0.3044853678734585,0.30062999193526574,0.2057144887591837,0.16127460839861757,0.11544736539240501,,,,0.16220747750320402,0.2177193560406472,0.20790625647905192,0.28955887841455363,0.2110616821126019,0.2703093250376501,0.25260529438896634,0.43768081215665333,0.2818273015653798,0.5242697595710217,,0.10255301234316404,0.1473017474195599,0.14632538159547878,0.1195071462487656,,0.6559600596580961,0.08483563062970964,0.16435736017902566
2005-04-06,0.2920928386468936,,0.35797413744167955,0.11295661464044746,0.2572673631124911,0.18057579524011413,0.2399466814086518,0.3018863368379072,0.29911558302575153,0.2064425236554444,0.1570710819960138,0.11276098362134725,,,,0.15741508570464133,0.2178798901734359,0.21325750018842393,0.2771143086030383,0.20844536099992494,0.26972447275188516,0.2514932527694717,0.41742984990389836,0.2799380234504751,0.5166170734819215,,0.09981713890402434,0.1431163763658114,0.14010175048793003,0.11464636701073423,,0.6604808179393382,0.07928111852450291,0.16276357995303917
2005-04-07,0.29899908767815836,,0.36153544730278386,0.11263946626069474,0.25667088972564445,0.1769579072879762,0.2405767040151167,0.30096201203506734,0.2989426819033875,0.206378111026747,0.15551155170013162,0.11306180447973757,,,,0.15684061900887772,0.21735556451947802,0.21413293380181667,0.27586138987913866,0.20841361019656968,0.2737441412701726,0.25388908657176884,0.4022469055050042,0.27539224460991807,0.5148519661832222,,0.09936470317110874,0.1450179567030807,0.13432152181095222,0.11275267072088505,,0.6722560576993042,0.07935022371473684,0.16340371055522557
2005-04-08,0.2866162437364254,,0.3576701049074647,0.10940304427029644,0.2561652690417508,0.17688651122678095,0.2302336052279798,0.2971458026417549,0.3008678630140217,0.2091300563582105,0.158197209675576,0.1147794604298234,,,,0.16836262070597127,0.21922051873222825,0.21753362538619517,0.2773161204538878,0.20871935657033422,0.2787739850813322,0.2539947457551403,0.4025223324806176,0.2822634277904496,0.5234651487750782,,0.10112398363801055,0.1455437409288093,0.13739470232733858,0.11478039261779512,,0.6703747043069637,0.07874515479483828,0.16350921348170233
2005-04-11,0.2865641671828225,,0.3572067453753448,0.10913420398509328,0.25702265045980355,0.17796943767627862,0.2301304816864862,0.29783366566994407,0.2992718127011668,0.20808258003135935,0.15839513014691464,0.11445619719503425,,,,0.16791684039388446,0.21838356239925671,0.2159814433617245,0.27741373668302316,0.20875896917651546,0.27804888809813016,0.2507164885694201,0.3968254202779768,0.2796235779065405,0.5246207716123137,,0.10109454096791984,0.1452190305718164,0.1359254665291849,0.11482554335531776,,0.6779891802839496,0.0783917403102547,0.16493365955585662
2005-04-12,0.29619750980640736,,0.3601311852653998,0.10926721966686787,0.2589431034514641,0.18296845342468038,0.23034127608411542,0.2979884417211994,0.29809081737251214,0.2114382967210982,0.15823631703168922,0.11530395852353209,,,,0.16931521696518886,0.21838464483266928,0.22027754784641576,0.2774382725258951,0.20863592268607145,0.28340441789343124,0.2536113725122643,0.4086734411317538,0.27381659949869774,0.5250162658424926,,0.10118058366760561,0.14568046943240615,0.13568877572476468,0.11505305036014023,,0.6865232411128266,0.07819991843319483,0.1696199072146561
2005-04-13,0.3037743626276762,,0.36119747810171543,0.10876397494091497,0.25330630733526455,0.1864311327892999,0.23054529936169935,0.2978868557550598,0.29822882433284087,0.2186347720602234,0.16700271950698198,0.12026485551889413,,,,0.1787611591305015,0.22355535503797497,0.22734670641438154,0.2934739155282721,0.2059698593368817,0.29088184591842087,0.27114398233829873,0.4252695317485924,0.28848469938273963,0.5254310539914527,,0.10302716926575613,0.1485331003759114,0.13827165625418336,0.11681357381488824,,0.7627664054504187,0.07788484325556042,0.1688739848423218
2005-04-14,0.30436697027512044,,0.3574805353272613,0.10989055495518396,0.2562539657315422,0.19084381384952595,0.22257232914227923,0.29802077694395107,0.29873995961449684,0.21661171433003787,0.17599713004636777,0.12395505993015905,,,,0.185781241296181,0.2230251273127942,0.22455492156096785,0.3076614147187011,0.2137090345830972,0.29011703809547873,0.26981820026620873,0.4376284084917095,0.283204115073607,0.5306097051295894,,0.10604788797914101,0.14966442967530408,0.14368139091012072,0.12381182340970347,,0.7758697372425261,0.07574628483944533,0.1690126013978907
2005-04-15,0.29774561410437983,,0.3209327486185457,0.10971873115595263,0.25654854917501524,0.18660366507777326,0.22288199523401064,0.2990288735536145,0.2986488758710291,0.23141479165901874,0.18277790749256875,0.1286643401165739,,,,0.18695383188826564,0.24197904644977836,0.2317949813599489,0.30869461102590656,0.2136541070312127,0.30172446698916505,0.28652668710302576,0.43854001335661597,0.288812343581259,0.5337235588805012,,0.10850042738165815,0.15404491161793124,0.14603509079601307,0.1266182815528777,,0.8698088753659017,0.07616820222134345,0.1723205422277291
2005-04-18,0.29753672565308253,,0.32081885470067617,0.11003592414353514,0.2522162988425848,0.1840244251861327,0.22195899895384028,0.2924153170477935,0.293618023530127,0.2332958536996212,0.18466423046350533,0.12805861972790594,,,,0.18636162919493737,0.2437672057300422,0.23208611482390987,0.31386199073307375,0.21989740086724024,0.3060366540669102,0.29193655866039364,0.43366909170152707,0.29160053840241695,0.5387372144025474,,0.10812223381705864,0.15250240301378568,0.14528156562152797,0.1264721540250462,,0.8791904726334061,0.07636967524428856,0.1721355781992637
2005-04-19,0.30648228429835567,,0.30983826334856973,0.11277295274780268,0.25773946079373095,0.18724057164342514,0.22696183465515046,0.29510755280000034,0.2781845197642789,0.23670280679513014,0.1861830200919741,0.12813148535541724,,,,0.18761370437542868,0.2473662509767938,0.23183021779983176,0.3069797458975451,0.22351549472471005,0.3085151410884548,0.2962623594819081,0.4447206412402858,0.292242837396202,0.545508975238307,,0.10724067406362604,0.1523533229572005,0.1471597436468778,0.12739022790194407,,0.9044721092785282,0.07628538528010866,0.1732471777830786
2005-04-20,0.30416951966109473,,0.3063196674975815,0.11323071736269154,0.2583065032129684,0.19038818099037913,0.22710708910402488,0.2951620592153729,0.2780935091828628,0.24078040837145212,0.18861507370581546,0.1287768510721726,,,,0.1882579848825012,0.25267849326462216,0.23654954678890452,0.30217659523920376,0.2254376938195663,0.31169328747289976,0.2981928200686308,0.4433777567864641,0.29480409736448654,0.5452233079799889,,0.10880398136168803,0.14989491697902368,0.14769192247750237,0.13012560717958158,,0.9302298773676886,0.07629385956348445,0.1732414410442954
2005-04-21,0.3089887422761974,,0.3065049625212934,0.11375610732381074,0.2597862413462279,0.19229602333788154,0.22697899660749385,0.2935988773287642,0.2781461439764817,0.24804692565944755,0.192104907880569,0.13834961113901842,,,,0.19720684407141575,0.26152083894113143,0.23993414693707454,0.30152422105607835,0.22493908678486563,0.31675999085222356,0.30321758458570935,0.43711694951334185,0.2994409753359031,0.5331155946498294,,0.11515487758986478,0.15537376273624712,0.15545857178160125,0.13391101020259924,,0.982153088847412,0.07619756333455623,0.17780385325750545
2005-04-22,0.30483506548038924,,0.3083105567177547,0.11215853958596003,0.24934708838582492,0.1908171384477697,0.22776115326904103,0.29383731141927166,0.2771776112587854,0.2480470833112348,0.19286714882739167,0.1398063787816073,,,,0.2023098075588825,0.2610045399481091,0.2406337000024124,0.3000696487210159,0.22197565445868167,0.3166664690989674,0.3032076791383228,0.4373530113825511,0.2994377041651695,0.5186147740108212,,0.11475236766841707,0.15730396449410453,0.15869627521542887,0.13457391063410576,,0.9878922794383217,0.07505402506864399,0.17876893195242516
2005-04-25,0.306625316241382,,0.3004395432034534,0.11216093368921018,0.24912618396576672,0.1908187992145033,0.23052375458765248,0.30237897019252385,0.2771093747989719,0.24880745277316352,0.19181345682631618,0.14168512935754476,,,,0.20380701147298352,0.26039047173029817,0.24030136126630608,0.30456091090069504,0.2218320033227338,0.31803846840338224,0.30668034429717317,0.4375028977907232,0.29857055666938903,0.5160287915948802,,0.11545290342317954,0.15598831027092877,0.15916633789913198,0.135986097799141,,0.9924960595850323,0.0754305145649251,0.17847178244689396
2005-04-26,0.3055422901378595,,0.2995654514106573,0.11046863681328842,0.24312322099109704,0.19326020684250658,0.23033580579873475,0.3023985105906913,0.27659956805689895,0.25165564359015746,0.19538541310635726,0.14277957845622985,,,,0.20143927985510593,0.26191251972602975,0.24143890109260474,0.30909116030548883,0.22254963413414766,0.32011220211645275,0.30820893171253994,0.4365811800167749,0.30077738908079305,0.5031002472447368,,0.1169496522350376,0.15658513759721385,0.1614891576187489,0.13785677469512894,,0.989710323335662,0.07332918168711534,0.17576177729150058
2005-04-27,0.319613705311856,,0.3193024102916202,0.11068677497174766,0.24315141091020825,0.1941926390846547,0.23510224582243913,0.30292452883201665,0.27841831571552894,0.2573738734154287,0.19626636292753147,0.14274467157019066,,,,0.20140620788407693,0.2640359101130842,0.24849242688286138,0.31570125701521806,0.2566277076038785,0.32250852031773436,0.31653148351262833,0.43837846665758184,0.3052877477410857,0.5148704791735284,,0.11706338809973083,0.15453319897183923,0.15906879911055766,0.13583277808953428,,0.9853181303373028,0.0714782240709895,0.1763719356354955
2005-04-28,0.31964342369662657,,0.3175129723242582,0.11063823595145172,0.24313876746940447,0.19367939538503542,0.23599195526321898,0.3004256206442881,0.27864468817815724,0.2605806582946614,0.1965043621136251,0.14423429526020778,,,,0.20148375138248842,0.2780824168519935,0.24970708754636464,0.3194838259153839,0.2601621031008972,0.32164736591359694,0.3245052790045543,0.4534666604899045,0.31150892718324397,0.5129415935890693,,0.11961603570603149,0.15560517326003392,0.1666467868769322,0.13834185515323405,,1.0153551843761648,0.07160995660342931,0.17888512532565407
2005-04-29,0.3224724579481525,,0.3214234824197199,0.11094028242125514,0.2522593814689469,0.19430356666286633,0.23598999949913033,0.3004306555707328,0.2783597118875973,0.26025522389042083,0.20285323366808825,0.14623312606753536,,,,0.20226081784308156,0.2792491764696394,0.25180323589280557,0.31670658093322823,0.26819058095571335,0.3217628580499062,0.32727288664834436,0.4525407207679084,0.308760812169184,0.5163172750003926,,0.12278727073729803,0.15614740962750356,0.1690398269632248,0.1394412996526247,,1.03496605831129,0.07162177089933736,0.17623741147946803
2005-05-02,0.323146525031306,,0.3225293263251105,0.1123036115947209,0.2525170872446442,0.19433390431171138,0.23963558800544857,0.3014419328991941,0.2784068939286112,0.26151066181825366,0.20200649760875308,0.14422676709663165,,,,0.20171824015608528,0.279905604135795,0.25483293057287254,0.31314757210264743,0.267866600722193,0.3231127960532822,0.32718149203580904,0.45859116496124097,0.31720013980343226,0.5226710588349259,,0.12266715795618355,0.15395265715539813,0.16861949990268543,0.1371943512204955,,1.0330389954456365,0.07158470010393876,0.17625512598077814
2005-05-03,0.3250007448218127,,0.3275079773739624,0.11301186554683984,0.2524682799318439,0.1950950403412855,0.24229270157290406,0.30436173321066884,0.27608297207677235,0.2644482015060152,0.2017095033343115,0.14470494645590332,,,,0.20187560168243687,0.27706478079950025,0.25403132090310154,0.3148530226291689,0.26891104360191037,0.32706235995465727,0.3302744629807049,0.4410737011228696,0.32048291980329696,0.5228862129357423,,0.12201851810356774,0.15421159223314299,0.1685216043260398,0.13610582834580406,,1.0279218140391486,0.07147338104522837,0.17630393979135553
2005-05-04,0.32521468413633847,,0.3287950530630235,0.11347816462118374,0.2551592886811144,0.1954041946997848,0.2418134051059012,0.30291428129107417,0.2757663792463264,0.26405077252614084,0.20304677948729571,0.1466931059173066,,,,0.20559458858363228,0.2771536554951426,0.2540026686427546,0.3153282657903265,0.2719112851482121,0.32674729264749347,0.3296569568510725,0.4403199374473955,0.32524175780316433,0.5321449791273906,,0.12288096646047353,0.15634029430443117,0.16937899767983097,0.13743262326115185,,1.0307195553330566,0.07254426629582798,0.17629724958298068
2005-05-05,0.3259454288558924,,0.3205366366260377,0.11127330575871631,0.25472544900545996,0.19534561868402978,0.2423984863331944,0.30368534538543746,0.27509658636539486,0.26466926468240015,0.20305814583658163,0.14690886122256466,,,,0.20517172597807568,0.27702007798338385,0.252867440772618,0.31533121772946754,0.2707286998398368,0.32790921833240794,0.3307981987578298,0.43797531087434827,0.32529385809585804,0.5177312774894078,,0.12278258798408846,0.1548464725951778,0.16912834559958212,0.13761280912265977,,1.0306679644223493,0.0717599769067877,0.17634684954943977
2005-05-06,0.32594910486013506,,0.32079396098676516,0.11196205759947657,0.2560677899303056,0.19519643688253663,0.24249034617167728,0.3045141801901696,0.2761317683647372,0.26472705593549606,0.20179785155959265,0.14615236634173392,,,,0.20487021351845255,0.2758852846236708,0.2528545721382565,0.3150800237599654,0.2698938595308355,0.32780835544309994,0.3298720720074188,0.4386602966253054,0.32499603995632637,0.5135787416964676,,0.12095390192467206,0.15129237187366698,0.1671830958519804,0.13530832248187605,,1.0249963888033284,0.07283396365914596,0.17746608236408598
