,asset_a,asset_b,method,correlation,pvalue
123,HG=F,TECK,spearman,0.4772,0.0
381,APA,IJH,spearman,0.4767,0.0
44,BZ=F,XOM,spearman,0.4765,0.0
270,SIL,TECK,spearman,0.4753,0.0
246,GDX,FCX,spearman,0.4741,0.0
340,CVX,IWM,spearman,0.4739,0.0
348,FCX,OXY,spearman,0.4699,0.0
209,XLB,APA,spearman,0.4694,0.0
326,XOM,IWM,spearman,0.4662,0.0
411,SM,IJH,spearman,0.465,0.0
15,CL=F,CVX,spearman,0.4632,0.0
232,XLI,TECK,spearman,0.4626,0.0
401,TECK,IWM,spearman,0.4612,0.0
351,FCX,TGB,spearman,0.4607,0.0
346,FCX,NEM,spearman,0.4567,0.0
399,TECK,SPY,spearman,0.456,0.0
393,OXY,MGC,spearman,0.4556,0.0
197,XLE,^VIX,spearman,-0.4553,0.0
347,FCX,APA,spearman,0.4524,0.0
272,SIL,TGB,spearman,0.452,0.0
391,OXY,IWM,spearman,0.451,0.0
331,CVX,FCX,spearman,0.4507,0.0
410,SM,IWM,spearman,0.4478,0.0
380,APA,IWM,spearman,0.4432,0.0
389,OXY,SPY,spearman,0.4432,0.0
231,XLI,OXY,spearman,0.4428,0.0
386,OXY,TECK,spearman,0.4419,0.0
300,IYT,CVX,spearman,0.4402,0.0
305,IYT,TECK,spearman,0.4399,0.0
375,APA,TECK,spearman,0.4398,0.0
250,GDX,TECK,spearman,0.4386,0.0
382,APA,MGC,spearman,0.4385,0.0
14,CL=F,XOM,spearman,0.4378,0.0
252,GDX,TGB,spearman,0.4334,0.0
299,IYT,XOM,spearman,0.4318,0.0
335,CVX,TECK,spearman,0.4311,0.0
317,XOM,FCX,spearman,0.4295,0.0
82,GC=F,DX-Y.NYB,spearman,-0.4268,0.0
280,SIL,DX-Y.NYB,spearman,-0.425,0.0
212,XLB,SM,spearman,0.4248,0.0
230,XLI,APA,spearman,0.4237,0.0
329,XOM,^VIX,spearman,-0.4155,0.0
84,SI=F,HG=F,spearman,0.4152,0.0
343,CVX,^VIX,spearman,-0.4137,0.0
260,GDX,DX-Y.NYB,spearman,-0.4133,0.0
285,JETS,FCX,spearman,0.411,0.0
378,APA,SPY,spearman,0.4103,0.0
303,IYT,APA,spearman,0.4091,0.0
125,HG=F,TGB,spearman,0.4086,0.0
357,FCX,^VIX,spearman,-0.4084,0.0
350,FCX,SM,spearman,0.4082,0.0
321,XOM,TECK,spearman,0.4061,0.0
202,XLB,SIL,spearman,0.406,0.0
397,TECK,SM,spearman,0.4058,0.0
304,IYT,OXY,spearman,0.4052,0.0
353,FCX,QQQ,spearman,0.4041,0.0
412,SM,MGC,spearman,0.3954,0.0
201,XLB,GDX,spearman,0.3901,0.0
233,XLI,SM,spearman,0.3886,0.0
404,TECK,^VIX,spearman,-0.3874,0.0
408,SM,SPY,spearman,0.3864,0.0
400,TECK,QQQ,spearman,0.3827,0.0
193,XLE,QQQ,spearman,0.3813,0.0
420,TGB,MGC,spearman,0.3809,0.0
362,NEM,TECK,spearman,0.379,0.0
106,SI=F,DX-Y.NYB,spearman,-0.3781,0.0
306,IYT,SM,spearman,0.375,0.0
148,ZW=F,ZS=F,spearman,0.3747,0.0
114,HG=F,SIL,spearman,0.3696,0.0
394,OXY,^VIX,spearman,-0.3673,0.0
213,XLB,TGB,spearman,0.367,0.0
288,JETS,TECK,spearman,0.3638,0.0
94,SI=F,FCX,spearman,0.3534,0.0
111,HG=F,XLB,spearman,0.3511,0.0
372,NEM,DX-Y.NYB,spearman,-0.3437,0.0
383,APA,^VIX,spearman,-0.3437,0.0
208,XLB,NEM,spearman,0.3379,0.0
46,BZ=F,FCX,spearman,0.3351,0.0
325,XOM,QQQ,spearman,0.3351,0.0
339,CVX,QQQ,spearman,0.3349,0.0
113,HG=F,GDX,spearman,0.3326,0.0
50,BZ=F,TECK,spearman,0.3286,0.0
181,XLE,JETS,spearman,0.3244,0.0
100,SI=F,TGB,spearman,0.3241,0.0
98,SI=F,TECK,spearman,0.3238,0.0
413,SM,^VIX,spearman,-0.3236,0.0
191,XLE,TGB,spearman,0.3225,0.0
364,NEM,TGB,spearman,0.3177,0.0
419,TGB,IJH,spearman,0.3135,0.0
307,IYT,TGB,spearman,0.3131,0.0
68,GC=F,HG=F,spearman,0.3084,0.0
276,SIL,IWM,spearman,0.3079,0.0
390,OXY,QQQ,spearman,0.3078,0.0
418,TGB,IWM,spearman,0.3075,0.0
34,BZ=F,HG=F,spearman,0.3073,0.0
20,CL=F,TECK,spearman,0.3023,0.0
277,SIL,IJH,spearman,0.3021,0.0
290,JETS,TGB,spearman,0.3012,0.0
110,HG=F,XLE,spearman,0.3003,0.0
274,SIL,SPY,spearman,0.2966,0.0
16,CL=F,FCX,spearman,0.2959,0.0
179,XLE,GDX,spearman,0.2955,0.0
130,HG=F,MGC,spearman,0.2941,0.0
409,SM,QQQ,spearman,0.2939,0.0
377,APA,TGB,spearman,0.2912,0.0
278,SIL,MGC,spearman,0.2903,0.0
416,TGB,SPY,spearman,0.2891,0.0
52,BZ=F,TGB,spearman,0.2885,0.0
234,XLI,TGB,spearman,0.2882,0.0
388,OXY,TGB,spearman,0.2873,0.0
379,APA,QQQ,spearman,0.2856,0.0
180,XLE,SIL,spearman,0.282,0.0
39,BZ=F,XLB,spearman,0.2798,0.0
337,CVX,TGB,spearman,0.276,0.0
405,TECK,DX-Y.NYB,spearman,-0.2755,0.0
284,JETS,CVX,spearman,0.2745,0.0
407,SM,TGB,spearman,0.2737,0.0
249,GDX,OXY,spearman,0.2711,0.0
275,SIL,QQQ,spearman,0.2703,0.0
76,GC=F,FCX,spearman,0.2701,0.0
4,CL=F,HG=F,spearman,0.27,0.0
129,HG=F,IJH,spearman,0.2698,0.0
241,XLI,^TNX,spearman,0.2649,0.0
80,GC=F,TGB,spearman,0.2644,0.0
186,XLE,NEM,spearman,0.2632,0.0
358,FCX,DX-Y.NYB,spearman,-0.2631,0.0
122,HG=F,OXY,spearman,0.2624,0.0
223,XLI,SIL,spearman,0.2619,0.0
121,HG=F,APA,spearman,0.2617,0.0
286,JETS,APA,spearman,0.2612,0.0
444,MGC,^TNX,spearman,0.2604,0.0
257,GDX,IJH,spearman,0.2597,0.0
118,HG=F,CVX,spearman,0.2593,0.0
199,XLE,^TNX,spearman,0.2572,0.0
126,HG=F,SPY,spearman,0.2572,0.0
323,XOM,TGB,spearman,0.2565,0.0
132,HG=F,DX-Y.NYB,spearman,-0.2564,0.0
112,HG=F,XLI,spearman,0.2553,0.0
441,IJH,^TNX,spearman,0.2537,0.0
245,GDX,CVX,spearman,0.2525,0.0
283,JETS,XOM,spearman,0.2516,0.0
287,JETS,OXY,spearman,0.2513,0.0
120,HG=F,NEM,spearman,0.2507,0.0
128,HG=F,IWM,spearman,0.2499,0.0
265,SIL,CVX,spearman,0.2487,0.0
417,TGB,QQQ,spearman,0.2484,0.0
22,CL=F,TGB,spearman,0.2484,0.0
79,GC=F,TECK,spearman,0.2481,0.0
256,GDX,IWM,spearman,0.2468,0.0
279,SIL,^VIX,spearman,-0.246,0.0
254,GDX,SPY,spearman,0.2459,0.0
248,GDX,APA,spearman,0.2449,0.0
56,BZ=F,IJH,spearman,0.2448,0.0
269,SIL,OXY,spearman,0.244,0.0
421,TGB,^VIX,spearman,-0.2438,0.0
315,IYT,^TNX,spearman,0.2431,0.0
438,IWM,^TNX,spearman,0.2425,0.0
429,SPY,^TNX,spearman,0.2421,0.0
361,NEM,OXY,spearman,0.2407,0.0
37,BZ=F,ZS=F,spearman,0.2396,0.0
330,XOM,^TNX,spearman,0.2384,0.0
124,HG=F,SM,spearman,0.2384,0.0
422,TGB,DX-Y.NYB,spearman,-0.2378,0.0
117,HG=F,XOM,spearman,0.2351,0.0
332,CVX,NEM,spearman,0.2333,0.0
27,CL=F,MGC,spearman,0.2329,0.0
289,JETS,SM,spearman,0.2311,0.0
345,CVX,^TNX,spearman,0.2285,0.0
53,BZ=F,SPY,spearman,0.2282,0.0
251,GDX,SM,spearman,0.2273,0.0
57,BZ=F,MGC,spearman,0.227,0.0
268,SIL,APA,spearman,0.2267,0.0
55,BZ=F,IWM,spearman,0.2253,0.0
221,XLB,^TNX,spearman,0.2252,0.0
244,GDX,XOM,spearman,0.2245,0.0
116,HG=F,IYT,spearman,0.2239,0.0
60,BZ=F,^TNX,spearman,0.2224,0.0
255,GDX,QQQ,spearman,0.2223,0.0
9,CL=F,XLB,spearman,0.2223,0.0
258,GDX,MGC,spearman,0.2208,0.0
40,BZ=F,XLI,spearman,0.2205,0.0
222,XLI,GDX,spearman,0.2203,0.0
396,OXY,^TNX,spearman,0.2203,0.0
271,SIL,SM,spearman,0.2199,0.0
385,APA,^TNX,spearman,0.2196,0.0
115,HG=F,JETS,spearman,0.2179,0.0
264,SIL,XOM,spearman,0.2175,0.0
370,NEM,MGC,spearman,0.2163,0.0
33,BZ=F,SI=F,spearman,0.2153,0.0
131,HG=F,^VIX,spearman,-0.2134,0.0
445,^VIX,^TNX,spearman,-0.2132,0.0
11,CL=F,GDX,spearman,0.2131,0.0
109,HG=F,ZS=F,spearman,0.2131,0.0
360,NEM,APA,spearman,0.213,0.0
127,HG=F,QQQ,spearman,0.2128,0.0
318,XOM,NEM,spearman,0.2102,0.0
89,SI=F,XLB,spearman,0.2099,0.0
64,NG=F,APA,spearman,0.2089,0.0
263,SIL,IYT,spearman,0.2082,0.0
7,CL=F,ZS=F,spearman,0.2052,0.0
3,CL=F,SI=F,spearman,0.204,0.0
12,CL=F,SIL,spearman,0.2039,0.0
1,CL=F,NG=F,spearman,0.2027,0.0
434,QQQ,^TNX,spearman,0.2014,0.0
369,NEM,IJH,spearman,0.2012,0.0
259,GDX,^VIX,spearman,-0.201,0.0
61,NG=F,XLE,spearman,0.2008,0.0
35,BZ=F,ZC=F,spearman,0.2002,0.0
415,SM,^TNX,spearman,0.1995,0.0
41,BZ=F,GDX,spearman,0.1979,0.0
66,NG=F,SM,spearman,0.1917,0.0
26,CL=F,IJH,spearman,0.1901,0.0
83,GC=F,^TNX,spearman,-0.1883,0.0
368,NEM,IWM,spearman,0.1876,0.0
42,BZ=F,SIL,spearman,0.1862,0.0
58,BZ=F,^VIX,spearman,-0.1861,0.0
30,CL=F,^TNX,spearman,0.1822,0.0
169,ZS=F,TECK,spearman,0.1819,0.0
165,ZS=F,FCX,spearman,0.1809,0.0
158,ZS=F,XLE,spearman,0.1805,0.0
366,NEM,SPY,spearman,0.1804,0.0
363,NEM,SM,spearman,0.1802,0.0
88,SI=F,XLE,spearman,0.1775,0.0
359,FCX,^TNX,spearman,0.1768,0.0
443,MGC,DX-Y.NYB,spearman,-0.176,0.0
406,TECK,^TNX,spearman,0.1751,0.0
220,XLB,DX-Y.NYB,spearman,-0.1744,0.0
2,CL=F,GC=F,spearman,0.1721,0.0
5,CL=F,ZC=F,spearman,0.1714,0.0
17,CL=F,NEM,spearman,0.1707,0.0
59,BZ=F,DX-Y.NYB,spearman,-0.1703,0.0
54,BZ=F,QQQ,spearman,0.17,0.0
36,BZ=F,ZW=F,spearman,0.1691,0.0
97,SI=F,OXY,spearman,0.1689,0.0
43,BZ=F,IYT,spearman,0.1685,0.0
262,SIL,JETS,spearman,0.1678,0.0
47,BZ=F,NEM,spearman,0.1678,0.0
25,CL=F,IWM,spearman,0.1675,0.0
302,IYT,NEM,spearman,0.1668,0.0
65,NG=F,OXY,spearman,0.1659,0.0
87,SI=F,ZS=F,spearman,0.1651,0.0
167,ZS=F,APA,spearman,0.1648,0.0
243,GDX,IYT,spearman,0.1646,0.0
23,CL=F,SPY,spearman,0.164,0.0
229,XLI,NEM,spearman,0.163,0.0
159,ZS=F,XLB,spearman,0.162,0.0
29,CL=F,DX-Y.NYB,spearman,-0.1579,0.0
32,BZ=F,GC=F,spearman,0.1577,0.0
168,ZS=F,OXY,spearman,0.157,0.0
164,ZS=F,CVX,spearman,0.1545,0.0
96,SI=F,APA,spearman,0.1545,0.0
298,JETS,^TNX,spearman,0.1544,0.0
10,CL=F,XLI,spearman,0.1542,0.0
446,DX-Y.NYB,^TNX,spearman,0.152,0.0
170,ZS=F,SM,spearman,0.1518,0.0
163,ZS=F,XOM,spearman,0.1499,0.0
105,SI=F,MGC,spearman,0.1497,0.0
93,SI=F,CVX,spearman,0.1486,0.0
371,NEM,^VIX,spearman,-0.1483,0.0
161,ZS=F,GDX,spearman,0.1483,0.0
136,ZC=F,XLE,spearman,0.1482,0.0
395,OXY,DX-Y.NYB,spearman,-0.1469,0.0
63,NG=F,CVX,spearman,0.1462,0.0
6,CL=F,ZW=F,spearman,0.1459,0.0
107,HG=F,ZC=F,spearman,0.1458,0.0
99,SI=F,SM,spearman,0.1444,0.0
28,CL=F,^VIX,spearman,-0.1442,0.0
144,ZC=F,TECK,spearman,0.1433,0.0
367,NEM,QQQ,spearman,0.1431,0.0
133,HG=F,^TNX,spearman,0.1416,0.0
273,SIL,GORO,spearman,0.1406,0.0
198,XLE,DX-Y.NYB,spearman,-0.1404,0.0
85,SI=F,ZC=F,spearman,0.1402,0.0
162,ZS=F,SIL,spearman,0.1381,0.0
171,ZS=F,TGB,spearman,0.1368,0.0
142,ZC=F,APA,spearman,0.1366,0.0
176,ZS=F,DX-Y.NYB,spearman,-0.1353,0.0
143,ZC=F,OXY,spearman,0.1347,0.0
141,ZC=F,FCX,spearman,0.1343,0.0
344,CVX,DX-Y.NYB,spearman,-0.1314,0.0
92,SI=F,XOM,spearman,0.1303,0.0
101,SI=F,GORO,spearman,0.1301,0.0
13,CL=F,IYT,spearman,0.1299,0.0
384,APA,DX-Y.NYB,spearman,-0.129,0.0
62,NG=F,XOM,spearman,0.1288,0.0
145,ZC=F,SM,spearman,0.1279,0.0
31,BZ=F,NG=F,spearman,0.1274,0.0
81,GC=F,GORO,spearman,0.1274,0.0
138,ZC=F,GDX,spearman,0.1272,0.0
297,JETS,DX-Y.NYB,spearman,-0.1267,0.0
365,NEM,GORO,spearman,0.1253,0.0
140,ZC=F,CVX,spearman,0.1245,0.0
73,GC=F,XLB,spearman,0.1227,0.0
261,GDX,^TNX,spearman,-0.1219,0.0
108,HG=F,ZW=F,spearman,0.1217,0.0
86,SI=F,ZW=F,spearman,0.1211,0.0
104,SI=F,IJH,spearman,0.1207,0.0
253,GDX,GORO,spearman,0.1202,0.0
174,ZS=F,IJH,spearman,0.1184,0.0
314,IYT,DX-Y.NYB,spearman,-0.1178,0.0
156,ZW=F,TECK,spearman,0.1177,0.0
71,GC=F,ZS=F,spearman,0.1173,0.0
154,ZW=F,APA,spearman,0.1167,0.0
103,SI=F,IWM,spearman,0.1161,0.0
139,ZC=F,XOM,spearman,0.1158,0.0
149,ZW=F,XLE,spearman,0.1145,0.0
69,GC=F,ZC=F,spearman,0.1135,0.0
137,ZC=F,XLB,spearman,0.1133,0.0
414,SM,DX-Y.NYB,spearman,-0.1131,0.0
160,ZS=F,XLI,spearman,0.1124,0.0
155,ZW=F,OXY,spearman,0.1118,0.0
175,ZS=F,MGC,spearman,0.1112,0.0
150,ZW=F,GDX,spearman,0.1106,0.0
78,GC=F,OXY,spearman,0.11,0.0
153,ZW=F,FCX,spearman,0.1088,0.0
151,ZW=F,SIL,spearman,0.1076,0.0
72,GC=F,XLE,spearman,0.1076,0.0
102,SI=F,SPY,spearman,0.1074,0.0
70,GC=F,ZW=F,spearman,0.107,0.0
173,ZS=F,IWM,spearman,0.1067,0.0
157,ZW=F,DX-Y.NYB,spearman,-0.1061,0.0
423,TGB,^TNX,spearman,0.1055,0.0
166,ZS=F,NEM,spearman,0.1055,0.0
146,ZC=F,TGB,spearman,0.1051,0.0
24,CL=F,QQQ,spearman,0.105,0.0
172,ZS=F,SPY,spearman,0.1033,0.0
152,ZW=F,CVX,spearman,0.1019,0.0
373,NEM,^TNX,spearman,-0.1018,0.0
147,ZC=F,DX-Y.NYB,spearman,-0.1017,0.0
281,SIL,^TNX,spearman,-0.1003,0.0
